T,,,
0,10,0,0
5,10,0,0
10,10,0,0
15,10,0,0
20,10,0,0
25,10,0,0
30,10,0,0
35,10,0,0
40,10,0,0
45,10,0,0
50,10,0,0
55,10,0,0
60,10,0,0
65,10,0,0
70,10,0,0
75,10,0,0
80,10,0,0
85,10,0.3,0
90,10,0.16,0
95,10,0.11,0
100,10,0.09,0
105,10,0.07,0.05
110,10,0.06,0.05
115,10,0.05,0.04
120,10,0.04,0.04
125,10,0.04,0.03
130,10,0.04,0.03
135,10,0.04,0.03
140,10,0.04,0.03
145,10,0.04,0.02
150,10,0.04,0.02
155,10,0.04,0.02
160,10,0.04,0.02
165,10,0.05,0.02
170,10,0.06,0.03
175,10,0.07,0.03
180,10,0.09,0.03
185,10,0.12,0.04
190,10,0.17,0.05
195,10,0.34,0.06
200,10,4.64,0.07
205,10,4.82,0.11
210,10,5.01,0.22
215,10,5.22,5.1
220,10,5.45,5.29
225,10,5.7,5.49
230,10,5.97,5.7
235,10,6.37,5.93
240,10,6.82,6.19
245,10,7.35,6.46
250,10,7.5,6.86
255,10,7.65,7.32
260,10,7.8,7.83
265,10,7.96,7.97
270,10,8.21,8.11
275,10,8.47,8.26
280,10,8.75,8.48
285,10,8.85,8.7
290,10,8.94,8.95
295,10,9.04,9.2
300,10,9.2,9.28
305,10,9.37,9.36
310,10,9.55,9.49
315,10,9.73,9.63
320,10,9.8,9.77
325,10,9.88,9.92
330,10,10.01,9.98
335,10,10.15,10.05
340,10,10.3,10.16
345,10,10.44,10.29
350,10,10.51,10.41
355,10,10.63,10.54
360,10,10.75,10.6
365,10,10.88,10.72
370,10,11,10.84
375,10,11.13,10.96
380,10,11.26,11.08
385,10,11.38,11.21
390,10,11.51,11.27
395,10,11.64,11.36
400,10,11.78,11.45
405,10,11.89,11.54
410,10,12.01,11.64
415,10,12.13,11.67
420,10,12.26,11.76
425,10,12.38,11.85
430,10,12.42,11.94
435,10,12.46,12.03
440,10,12.5,12.12
445,10,12.54,12.14
450,10,12.59,12.16
455,10,12.58,12.18
460,10,12.54,12.2
465,10,12.5,12.22
470,10,12.46,12.11
475,10,12.42,12.01
480,10,12.39,11.91
485,10,12.36,11.81
490,10,12.34,11.72
495,10,12.31,11.66
500,10,12.28,11.58
505,10,12.26,11.49
510,10,12.28,11.41
515,10,12.3,11.33
520,10,12.33,11.31
525,10,12.35,11.28
530,10,12.38,11.26
535,10,12.4,11.24
540,10,12.42,11.21
545,10,12.44,11.19
550,10,12.46,11.2
555,10,12.48,11.16
560,10,12.45,11.13
565,10,12.42,11.1
570,10,12.38,11.07
575,10,12.35,11.03
580,10,12.32,11
585,10,12.25,10.92
590,10,12.18,10.84
595,10,12.11,10.76
600,10,12.05,10.69
605,10,11.98,10.65
610,10,11.95,10.61
615,10,11.89,10.55
620,10,11.83,10.5
625,10,11.77,10.45
630,10,11.71,10.4
635,10,11.69,10.38
640,10,11.65,10.37
645,10,11.62,10.38
650,10,11.58,10.39
655,10,11.55,10.41
660,10,11.51,10.42
665,10,11.5,10.44
670,10,11.46,10.46
675,10,11.43,10.55
680,10,11.39,10.63
685,10,11.35,10.72
690,10,11.33,10.8
695,10,11.3,10.87
700,10,11.23,10.97
705,10,11.16,11.07
710,10,11.09,11.17
715,10,11.02,11.28
720,10,10.97,11.38
725,10,10.93,11.42
730,10,10.81,11.45
735,10,10.68,11.47
740,10,10.57,11.5
745,10,10.45,11.53
750,10,10.38,11.52
755,10,10.3,11.51
760,10,10.21,11.49
765,10,10.12,11.48
770,10,10.03,11.46
775,10,9.94,11.45
780,10,9.92,11.45
785,10,9.9,11.46
790,10,9.88,11.47
795,10,9.85,11.48
800,10,9.82,11.48
805,10,9.8,11.5
810,10,9.79,11.49
815,10,9.78,11.48
820,10,9.77,11.47
825,10,9.75,11.47
830,10,9.72,11.46
835,10,9.69,11.44
840,10,9.67,11.42
845,10,9.65,11.4
850,10,9.63,11.38
855,10,9.61,11.36
860,10,9.57,11.36
865,10,9.53,11.36
870,10,9.49,11.33
875,10,9.47,11.31
880,10,9.44,11.28
885,10,9.42,11.25
890,10,9.4,11.23
895,10,9.37,11.21
900,10,9.33,11.11
905,10,9.3,11.02
910,10,9.29,10.93
915,10,9.28,10.84
920,10,9.27,10.77
925,10,9.26,10.7
930,10,9.23,10.6
935,10,9.19,10.49
940,10,9.16,10.39
945,10,9.13,10.29
950,10,9.11,10.25
955,10,9.09,10.21
960,10,9.06,10.17
965,10,9.04,10.12
970,10,9.01,10.08
975,10,8.99,10.04
980,10,8.99,10.03
985,10,8.99,10.03
990,10,8.98,10.01
995,10,8.98,9.99
1000,10,9,9.97
1005,10,9.01,9.95
1010,10,9.03,9.93
1015,10,9.04,9.92
1020,10,9.06,9.9
1025,10,9.07,9.82
1030,10,9.09,9.73
1035,10,9.06,9.65
1040,10,9.03,9.58
1045,10,9,9.51
1050,10,8.95,9.45
1055,10,8.91,9.38
1060,10,8.86,9.28
1065,10,8.82,9.17
1070,10,8.78,9.07
1075,10,8.74,9.03
1080,10,8.7,8.99
1085,10,8.7,8.95
1090,10,8.71,8.92
1095,10,8.71,8.88
1100,10,8.71,8.81
1105,10,8.71,8.74
1110,10,8.7,8.71
1115,10,8.7,8.68
1120,10,8.69,8.65
1125,10,8.69,8.63
1130,10,8.68,8.6
1135,10,8.68,8.54
1140,10,8.69,8.48
1145,10,8.71,8.42
1150,10,8.72,8.39
1155,10,8.74,8.37
1160,10,8.76,8.34
1165,10,8.78,8.31
1170,10,8.8,8.28
1175,10,8.83,8.24
1180,10,8.86,8.21
1185,10,8.89,8.2
1190,10,8.9,8.19
1195,10,8.91,8.19
1200,10,8.92,8.18
1205,10,8.93,8.17
1210,10,8.96,8.17
1215,10,8.99,8.13
1220,10,9.02,8.1
1225,10,9.04,8.08
1230,10,9.06,8.06
1235,10,9.08,8.03
1240,10,9.1,8.01
1245,10,9.15,7.99
1250,10,9.19,7.96
1255,10,9.23,7.98
1260,10,9.26,7.99
1265,10,9.28,8.03
1270,10,9.3,8.06
1275,10,9.34,8.1
1280,10,9.38,8.14
1285,10,9.42,8.24
1290,10,9.45,8.35
1295,10,9.47,8.47
1300,10,9.48,8.58
1305,10,9.49,8.66
1310,10,9.5,8.74
1315,10,9.52,8.82
1320,10,9.53,8.97
1325,10,9.52,9.12
1330,10,9.52,9.28
1335,10,9.52,9.36
1340,10,9.51,9.44
1345,10,9.5,9.52
1350,10,9.49,9.62
1355,10,9.48,9.74
1360,10,9.47,9.85
1365,10,9.47,9.97
1370,10,9.46,10
1375,10,9.46,10.03
1380,10,9.46,10.13
1385,10,9.46,10.23
1390,10,9.45,10.34
1395,10,9.46,10.45
1400,10,9.47,10.52
1405,10,9.48,10.63
1410,10,9.49,10.73
1415,10,9.51,10.84
1420,10,9.53,10.95
1425,10,9.54,11.06
1430,10,9.55,11.09
1435,10,9.56,11.14
1440,10,9.58,11.19
1445,10,9.61,11.24
1450,10,9.64,11.29
1455,10,9.66,11.31
1460,10,9.68,11.36
1465,10,9.7,11.42
1470,10,9.71,11.47
1475,10,9.73,11.53
1480,10,9.75,11.58
1485,10,9.77,11.61
1490,10,9.78,11.64
1495,10,9.78,11.67
1500,10,9.78,11.7
1505,10,9.79,11.74
1510,10,9.8,11.73
1515,10,9.8,11.74
1520,10,9.81,11.75
1525,10,9.81,11.75
1530,10,9.81,11.76
1535,10,9.85,11.76
1540,10,9.88,11.76
1545,10,9.91,11.75
1550,10,9.95,11.75
1555,10,9.98,11.74
1560,10,10.01,11.74
1565,10,10.04,11.73
1570,10,10.08,11.7
1575,10,10.11,11.68
1580,10,10.15,11.66
1585,10,10.15,11.64
1590,10,10.15,11.63
1595,10,10.16,11.56
1600,10,10.15,11.48
1605,10,10.14,11.41
1610,10,10.13,11.33
1615,10,10.12,11.26
1620,10,10.1,11.19
1625,10,10.09,11.1
1630,10,10.08,11.01
1635,10,10.08,10.92
1640,10,10.07,10.83
1645,10,10.06,10.8
1650,10,10.07,10.78
1655,10,10.08,10.7
1660,10,10.08,10.62
1665,10,10.09,10.54
1670,10,10.09,10.46
1675,10,10.1,10.41
1680,10,10.1,10.37
1685,10,10.09,10.32
1690,10,10.07,10.21
1695,10,10.04,10.11
1700,10,10.01,10.01
1705,10,9.99,9.96
1710,10,9.96,9.91
1715,10,9.94,9.86
1720,10,9.92,9.8
1725,10,9.9,9.72
1730,10,9.88,9.65
1735,10,9.85,9.57
