t,,,,
0,10,10,0,0
5,10,10,0,0
10,10,10,0,0
15,10,10,0,0
20,10,10,0,0
25,10,10,0,0
30,10,10,0,0
35,10,10,0,0
40,10,10,0.23,0
45,10,10,0.12,0
50,10,10,0.08,0
55,10,10,0.06,0
60,10,10,0.05,0
65,10,10,0.04,0
70,10,10,0.03,0
75,10,10,0.03,0
80,10,10,0.03,0
85,10,10,0.02,0
90,10,10,0.02,0
95,10,10,0.02,0
100,10,10,0.02,0
105,10,10,0.02,0
110,10,10,0.02,0
115,10,10,0.02,0
120,10,10,0.02,0.23
125,10,10,0.02,0.12
130,10,10,0.03,0.08
135,10,10,0.03,0.06
140,10,10,0.03,0.05
145,10,10,0.04,0.04
150,10,10,0.05,0.03
155,10,10,0.06,0.03
160,10,10,0.08,0.03
165,10,10,0.11,0.02
170,10,10,0.22,0.02
175,10,10,3.48,0.02
180,10,10,3.65,0.02
185,10,10,3.83,0.03
190,10,10,4.04,0.03
195,10,10,4.26,0.03
200,10,10,4.52,0.04
205,10,10,4.8,0.05
210,10,10,5.13,0.06
215,10,10,5.5,0.08
220,10,10,6,0.11
225,10,10,6.59,0.22
230,10,10,6.68,5.03
235,10,10,6.77,5.15
240,10,10,6.86,5.27
245,10,10,6.96,5.4
250,10,10,7.05,5.53
255,10,10,7.26,5.67
260,10,10,7.47,5.81
265,10,10,7.7,5.97
270,10,10,7.82,6.24
275,10,10,7.95,6.53
280,10,10,8.07,6.86
285,10,10,8.2,6.99
290,10,10,8.42,7.13
295,10,10,8.65,7.27
300,10,10,8.88,7.43
305,10,10,8.97,7.58
310,10,10,9.06,7.83
315,10,10,9.16,8.1
320,10,10,9.29,8.19
325,10,10,9.43,8.29
330,10,10,9.57,8.39
335,10,10,9.72,8.49
340,10,10,9.77,8.66
345,10,10,9.81,8.83
350,10,10,9.89,9.02
355,10,10,9.98,9.21
360,10,10,10.07,9.28
365,10,10,10.16,9.36
370,10,10,10.2,9.49
375,10,10,10.24,9.61
380,10,10,10.29,9.74
385,10,10,10.34,9.88
390,10,10,10.4,9.92
395,10,10,10.45,9.97
400,10,10,10.46,10.07
405,10,10,10.47,10.16
410,10,10,10.51,10.26
415,10,10,10.54,10.36
420,10,10,10.58,10.41
425,10,10,10.61,10.46
430,10,10,10.64,10.54
435,10,10,10.67,10.62
440,10,10,10.73,10.7
445,10,10,10.8,10.78
450,10,10,10.87,10.81
455,10,10,10.94,10.9
460,10,10,10.98,10.99
465,10,10,11.05,11.09
470,10,10,11.12,11.18
475,10,10,11.19,11.28
480,10,10,11.26,11.34
485,10,10,11.33,11.41
490,10,10,11.36,11.48
495,10,10,11.41,11.56
500,10,10,11.46,11.63
505,10,10,11.51,11.64
510,10,10,11.56,11.66
515,10,10,11.59,11.69
520,10,10,11.6,11.72
525,10,10,11.61,11.75
530,10,10,11.63,11.78
535,10,10,11.64,11.85
540,10,10,11.66,11.92
545,10,10,11.72,12
550,10,10,11.78,12.07
555,10,10,11.85,12.15
560,10,10,11.91,12.22
565,10,10,11.98,12.3
570,10,10,12.02,12.37
575,10,10,12.06,12.45
580,10,10,12.11,12.53
585,10,10,12.15,12.59
590,10,10,12.2,12.65
595,10,10,12.2,12.71
600,10,10,12.21,12.77
605,10,10,12.21,12.86
610,10,10,12.22,12.92
615,10,10,12.22,12.98
620,10,10,12.25,13.04
625,10,10,12.27,13.1
630,10,10,12.3,13.13
635,10,10,12.32,13.11
640,10,10,12.35,13.1
645,10,10,12.36,13.08
650,10,10,12.36,13.06
655,10,10,12.37,12.98
660,10,10,12.37,12.89
665,10,10,12.38,12.81
670,10,10,12.39,12.72
675,10,10,12.37,12.64
680,10,10,12.34,12.58
685,10,10,12.32,12.52
690,10,10,12.29,12.47
695,10,10,12.26,12.41
700,10,10,12.24,12.36
705,10,10,12.22,12.35
710,10,10,12.21,12.32
715,10,10,12.19,12.29
720,10,10,12.17,12.27
725,10,10,12.18,12.24
730,10,10,12.19,12.23
735,10,10,12.2,12.19
740,10,10,12.21,12.15
745,10,10,12.22,12.11
750,10,10,12.18,12.07
755,10,10,12.13,12.04
760,10,10,12.08,11.97
765,10,10,12.04,11.89
770,10,10,11.99,11.82
775,10,10,11.96,11.76
780,10,10,11.9,11.69
785,10,10,11.85,11.64
790,10,10,11.79,11.54
795,10,10,11.74,11.44
800,10,10,11.72,11.35
805,10,10,11.72,11.25
810,10,10,11.73,11.2
815,10,10,11.73,11.16
820,10,10,11.74,11.12
825,10,10,11.75,11.08
830,10,10,11.78,11.04
835,10,10,11.82,11
840,10,10,11.86,11.01
845,10,10,11.89,11.02
850,10,10,11.93,11.03
855,10,10,11.95,11.04
860,10,10,11.97,11.05
865,10,10,11.98,11.06
870,10,10,12,11.07
875,10,10,12.02,11.09
880,10,10,12.03,11.11
885,10,10,12.01,11.13
890,10,10,12,11.15
895,10,10,11.99,11.17
900,10,10,11.97,11.19
905,10,10,11.95,11.16
910,10,10,11.96,11.14
915,10,10,11.97,11.11
920,10,10,11.98,11.08
925,10,10,11.99,11.03
930,10,10,11.99,10.98
935,10,10,11.97,10.89
940,10,10,11.95,10.81
945,10,10,11.92,10.72
950,10,10,11.9,10.64
955,10,10,11.87,10.6
960,10,10,11.82,10.56
965,10,10,11.79,10.54
970,10,10,11.76,10.52
975,10,10,11.73,10.51
980,10,10,11.7,10.49
985,10,10,11.73,10.51
990,10,10,11.76,10.56
995,10,10,11.79,10.61
1000,10,10,11.82,10.66
1005,10,10,11.84,10.71
1010,10,10,11.87,10.76
1015,10,10,11.89,10.79
